Method	k	dataset	nF	run	trainTime	testTime	MacroF1	microF1
RI	2	reuters21578	15000	3	1.742282152	0.06295990944	0.5577552682	0.8500146757
KRI	2	reuters21578	15000	3	126.0160511	184.8452291	0.5823073627	0.8540914995
RI	2	reuters21578	2500	4	1.639026165	0.06320381165	0.5458417707	0.8372641509
KRI	2	reuters21578	2500	4	491.5277822	700.325012	0.5639984813	0.8282799253
RI	2	reuters21578	6000	4	1.764799118	0.06133580208	0.5598379405	0.8439664064
KRI	2	reuters21578	6000	4	240.85095	323.4649339	0.5883744129	0.8424085278
RI	2	reuters21578	7000	4	1.743834019	0.08083295822	0.5583959412	0.8474178404
KRI	2	reuters21578	7000	4	210.3876209	288.730798	0.5893871172	0.8490266763
RI	2	reuters21578	8000	4	1.762403011	0.06384515762	0.5550333915	0.8477813694
KRI	2	reuters21578	8000	4	189.1537859	260.2364631	0.584656624	0.8506409333
RI	2	reuters21578	9000	4	1.753006935	0.06193208694	0.5601822025	0.8492949471
KRI	2	reuters21578	9000	4	174.308862	243.9435012	0.5799700587	0.8534408293
RI	2	reuters21578	15000	4	1.747336864	0.06428909302	0.5557963897	0.8499558694
KRI	2	reuters21578	15000	4	123.601912	181.634465	0.5782867398	0.8576779026
RI	2	20newsgroups	2500	0	0.8025121689	0.02269291878	0.533847713	0.5510368974
KRI	2	20newsgroups	2500	0	103.317049	291.2903872	0.5066641981	0.5144680542
RI	2	20newsgroups	6000	0	0.8080718517	0.02726006508	0.5711771559	0.589637863
KRI	2	20newsgroups	6000	0	52.50736713	133.9383008	0.5861725727	0.5995293354
RI	2	20newsgroups	7000	0	0.8076779842	0.02408885956	0.5758751099	0.595057543
KRI	2	20newsgroups	7000	0	45.19601607	117.491575	0.590744141	0.6047658176
RI	2	20newsgroups	8000	0	0.8180680275	0.02381205559	0.5767110709	0.5960099751
KRI	2	20newsgroups	8000	0	39.99002194	103.0551779	0.5979992296	0.6118713932
RI	2	20newsgroups	9000	0	0.8354790211	0.03645896912	0.5809201018	0.6019193176
KRI	2	20newsgroups	9000	0	36.49912906	94.72940898	0.6099530305	0.6256308431
RI	2	20newsgroups	15000	0	0.8199000359	0.03482508659	0.5857428122	0.6061036196
KRI	2	20newsgroups	15000	0	24.76240897	65.84396505	0.6041563105	0.6245812935
RI	2	20newsgroups	2500	1	0.8262522221	0.02908492088	0.5278928421	0.5468171558
KRI	2	20newsgroups	2500	1	100.6274121	290.7082701	0.505081692	0.5138041267
RI	2	20newsgroups	6000	1	0.8250770569	0.0288438797	0.5711931948	0.5902989082
KRI	2	20newsgroups	6000	1	50.73588395	134.3030059	0.5832378862	0.5970173317
RI	2	20newsgroups	7000	1	0.8259539604	0.02994298935	0.5772453775	0.5965350956
KRI	2	20newsgroups	7000	1	44.40578794	116.728651	0.5925585128	0.6057629339
RI	2	20newsgroups	8000	1	0.8225879669	0.02990412712	0.5801764414	0.5994813556
KRI	2	20newsgroups	8000	1	45.9061141	104.6440089	0.6003761899	0.6162180182
RI	2	20newsgroups	9000	1	0.8264739513	0.04268789291	0.5803583788	0.599553372
KRI	2	20newsgroups	9000	1	35.70172811	94.09983587	0.6063604472	0.6231306082
RI	2	20newsgroups	15000	1	0.9381980896	0.03333592415	0.5882901758	0.6080612154
KRI	2	20newsgroups	15000	1	25.977036	65.01516795	0.6061645744	0.6259791685
